图鉴召唤,,,
int|key,int,str,int|useless
,,"[]",
id,type,reward_list,weights
"id","卡池类型","奖励列表[物品类型,物品id]","权重"
1,1,"[[8101,1]]",100
2,1,"[[8102,1]]",90
3,1,"[[8103,1]]",80
4,1,"[[8105,1]]",70
5,1,"[[8106,1]]",60
6,1,"[[8107,1]]",50
7,1,"[[8109,1]]",40
8,1,"[[8110,1]]",30
9,1,"[[8111,1]]",20
10,1,"[[8113,1]]",10
11,1,"[[8201,1]]",5
12,1,"[[8202,1]]",5
13,1,"[[8203,1]]",100
14,1,"[[8204,1]]",90
15,1,"[[8205,1]]",80
16,1,"[[8206,1]]",70
17,1,"[[8207,1]]",60
18,1,"[[8208,1]]",50
19,1,"[[8209,1]]",40
20,1,"[[8210,1]]",30
21,1,"[[8211,1]]",20
22,1,"[[8212,1]]",10
23,1,"[[8213,1]]",5
24,1,"[[8214,1]]",5
25,1,"[[8301,1]]",5
26,1,"[[8302,1]]",5
27,1,"[[8303,1]]",100
28,1,"[[8304,1]]",90
29,1,"[[8305,1]]",80
30,1,"[[8306,1]]",70
31,1,"[[8307,1]]",60
32,1,"[[8308,1]]",50
33,1,"[[8309,1]]",40
34,1,"[[8310,1]]",30
35,1,"[[8311,1]]",20
36,1,"[[8312,1]]",10
37,1,"[[8313,1]]",5
38,1,"[[8314,1]]",5
39,1,"[[8315,1]]",5
40,1,"[[8316,1]]",5
41,1,"[[8401,1]]",5
42,1,"[[8402,1]]",100
43,1,"[[8403,1]]",90
44,1,"[[8404,1]]",80
45,1,"[[8405,1]]",70
46,1,"[[8406,1]]",60
47,1,"[[8407,1]]",50
48,1,"[[8408,1]]",40
49,1,"[[8409,1]]",30
50,1,"[[8410,1]]",20
51,1,"[[8411,1]]",10
52,1,"[[8412,1]]",5
53,1,"[[8413,1]]",5
54,1,"[[8414,1]]",5
55,1,"[[8415,1]]",5
56,1,"[[8416,1]]",5
57,1,"[[8417,1]]",5
58,1,"[[8418,1]]",100
59,1,"[[8501,1]]",90
60,1,"[[8502,1]]",80
61,1,"[[8503,1]]",70
62,1,"[[8504,1]]",60
63,1,"[[8505,1]]",50
64,1,"[[8506,1]]",40
65,1,"[[8507,1]]",30
66,1,"[[8508,1]]",20
67,1,"[[8509,1]]",10
68,1,"[[8510,1]]",5
69,1,"[[8511,1]]",5
70,1,"[[8512,1]]",5
71,1,"[[8513,1]]",5
72,1,"[[8514,1]]",5
73,1,"[[8515,1]]",5
74,1,"[[8601,1]]",5
75,1,"[[8602,1]]",100
76,1,"[[8603,1]]",90
77,1,"[[8604,1]]",80
78,1,"[[8605,1]]",70
79,1,"[[8606,1]]",60
80,1,"[[8607,1]]",50
81,1,"[[8608,1]]",40
82,1,"[[8609,1]]",30
83,1,"[[8610,1]]",20
84,1,"[[8611,1]]",10
85,1,"[[8612,1]]",5
86,1,"[[8613,1]]",5
87,1,"[[8614,1]]",5
88,1,"[[8615,1]]",5
89,1,"[[8616,1]]",5
90,1,"[[8617,1]]",5
91,1,"[[8618,1]]",5
92,1,"[[9000,1]]",5
93,1,"[[9001,1]]",1
94,1,"[[9002,1]]",1
95,1,"[[9003,1]]",1
96,1,"[[9004,1]]",1
97,1,"[[9005,1]]",1
98,1,"[[9006,1]]",1
99,1,"[[9007,1]]",1
100,1,"[[9008,1]]",1
101,2,"[[8101,1]]",100
102,2,"[[8102,1]]",90
103,2,"[[8103,1]]",80
104,2,"[[8105,1]]",70
105,2,"[[8106,1]]",60
106,2,"[[8107,1]]",50
107,2,"[[8109,1]]",40
108,2,"[[8110,1]]",30
109,2,"[[8111,1]]",20
110,2,"[[8113,1]]",10
111,2,"[[8201,1]]",5
112,2,"[[8202,1]]",5
113,2,"[[8203,1]]",100
114,2,"[[8204,1]]",90
115,2,"[[8205,1]]",80
116,2,"[[8206,1]]",70
117,2,"[[8207,1]]",60
118,2,"[[8208,1]]",50
119,2,"[[8209,1]]",40
120,2,"[[8210,1]]",30
121,2,"[[8211,1]]",20
122,2,"[[8212,1]]",10
123,2,"[[8213,1]]",5
124,2,"[[8214,1]]",5
125,2,"[[8301,1]]",5
126,2,"[[8302,1]]",5
127,2,"[[8303,1]]",100
128,2,"[[8304,1]]",90
129,2,"[[8305,1]]",80
130,2,"[[8306,1]]",70
131,2,"[[8307,1]]",60
132,2,"[[8308,1]]",50
133,2,"[[8309,1]]",40
134,2,"[[8310,1]]",30
135,2,"[[8311,1]]",20
136,2,"[[8312,1]]",10
137,2,"[[8313,1]]",5
138,2,"[[8314,1]]",5
139,2,"[[8315,1]]",5
140,2,"[[8316,1]]",5
141,2,"[[8401,1]]",5
142,2,"[[8402,1]]",100
143,2,"[[8403,1]]",90
144,2,"[[8404,1]]",80
145,2,"[[8405,1]]",70
146,2,"[[8406,1]]",60
147,2,"[[8407,1]]",50
148,2,"[[8408,1]]",40
149,2,"[[8409,1]]",30
150,2,"[[8410,1]]",20
151,2,"[[8411,1]]",10
152,2,"[[8412,1]]",5
153,2,"[[8413,1]]",5
154,2,"[[8414,1]]",5
