function_icon功能入口,,,,,,,,,,,,,,,,,,
int|key,int|key,str|useless,int,int,int,str,int,int,str,int,int,str,str,int,str,str,str,int
,,,,,,,,,,,,,,,,,,
enter_type,index,name,function_id,activity_id,is_activity_time,show_type_list,is_reviewing,is_init_red,icon,function_config_id,bubble_type,bubble_data,bubble_red_enum,icon_scale,icon_wh_list,effect_list,page_name_list,task_activity_id
"类型ID，顺时针方向","排序ID","名称","功能ID","活动ID","是否显示活动倒计时","场景显示列表[1主城 2世界场景 3副本 4匹配场]","审核包期间，关闭入口","红点一直存在","图示ID","点击功能方法","注册泡泡文红点  1文本  2图片","类型2图片时 resource\assets\functionIcon\bubble","泡泡文红点枚举   red1&red2&red3","缩放值","入口宽高及红点坐标[宽高，红点坐标]","外圈特效配置[id,offx,offy]","打开ui显示的分页","绑定通用任务活动ID"
#顶部入口,,,,,,,,,,,,,,,,,,
#1,1,充值卡兑换,2041,,,"[2]",,,2041,33,,,,0.8,"[60,70,55,10]","[entrance,0,0]",,
#1,2,直购礼包,2031,,,"[2]",,,2031,32,,,,0.8,"[60,70,55,10]","[entrance,0,0]",,
1,3,直购等级,2011,,,"[2]",,,2011,31,,,,0.8,"[80,70,55,10]","[entrance,0,0]",,
1,4,投资计划—成长基金,502,,,"[2]",,,502,23,,,,0.8,"[80,70,55,10]","[entrance,0,0]",,
1,5,首储,610,,,"[2]",,,610,17,,,,0.8,"[80,70,55,10]","[entrance,0,0]",,
#右边入口,,,,,,,,,,,,,,,,,,
#2,1,首储,610,,,"[1]",,,610,17,,,,0.9,"[80,80,55,10]","[entrance,0,0]",,
#2,2,直购等级,2011,,,"[1]",,,2011,31,,,,0.9,"[80,80,55,10]","[entrance,0,0]",,
#2,3,直购礼包,2031,,,"[1]",,,2031,32,,,,0.9,"[80,80,55,10]","[entrance,0,0]",,
#2,4,充值卡兑换,2041,,,"[1]",,,2041,33,,,,0.9,"[80,80,55,10]","[entrance,0,0]",,
#2,5,成长之路,2001,,,"[2]",,,2001,30,,,,0.8,"[60,70,55,10]","[entrance,0,0]",,
#底部入口,,,,,,,,,,,,,,,,,,
#3,1,,,,,,,,,,,,,,,,,
#4,4,夺宝,1072,,,"[1]",,,502,152,,,,,"[80,70,55,10]",,,
#左侧首充,,,,,,,,,,,,,,,,,,
#4,7,直购礼包,2031,,,"[1]",,,2031,32,,,,0.8,"[80,65,55,10]","[entrance,0,0]",,
#4,1,福利大厅,1070,,,"[1]",,,1070,150,,,,,"[80,70,55,10]",,,
#4,2,通行证,1100,,,"[1]",,,1100,22,,,,,"[80,70,55,10]",,,
#4,3,充值卡兑换,2041,,,"[1]",,,2041,33,,,,0.8,"[80,65,55,10]",,,
4,4,首储,610,,,"[1]",,,610,17,,,,0.8,"[80,70,55,10]","[entrance,0,0]",,
4,5,直购等级,2011,,,"[1]",,,2011,31,,,,0.8,"[80,65,55,10]","[entrance,0,0]",,
4,6,投资计划—成长基金,502,,,"[1]",,,502,23,,,,0.8,"[80,65,55,10]","[entrance,0,0]",,
