英雄部件表,,,,,,,,,,,,,
int|key,int,int,int,int,int,str,str,str,str,str,int,int,int
,,,,,,"[]",,,"[]",,,,
parts_id,hero_id,type,icon_parts,icon_wuqi,item_id,dragon_list,offset_list,conditions_desc,use_conditions_list,use_conditions_desc,guangbo_sound,skill_dash_charge_per,skill_dash_times_add
"部件id","所属英雄Id","类型-1武器-2饰品","assets\role\guangbo\scene(光波，受击)","assets\role\weapon(shipin)\scene(武器,饰品)","对应itemid","龙骨配置 [1] 处于第一层","UI角色页面 xy偏移量【x,y,scaleXY】","解锁描述","使用条件","使用条件描述","弹道音效","突进技能回复加速万分比（实际回复时间=回复时间*10000/（加速万分比总值+10000）","突进技能次数增加"
101,1,1,1,1,701,"[10]","[[0,0,1]]",解锁【九天玄女】获得,,,12007,,
102,1,1,1,1,702,"[10]","[[20,20,1]]",【九天玄女】达到3星获得,,,12007,,
151,1,2,,1,703,"[4]","[[0,0,1]]",【九天玄女】达到1星获得,,,12007,5000,
152,1,2,,1,704,"[4]","[[0,0,1]]",【九天玄女】达到5星获得,,,12007,5000,1
201,2,1,2,1,705,"[4]","[[0,0,1]]",解锁【蚩尤】获得,,,12002,,
202,2,1,2,1,706,"[4]","[[0,0,1]]",【蚩尤】达到3星获得,,,12002,,
251,2,2,,1,707,"[1]","[[0,0,1]]",【蚩尤】达到1星获得,,,12002,5000,
252,2,2,,1,708,"[1]","[[0,30,1]]",【蚩尤】达到5星获得,,,12002,5000,1
301,3,1,3,1,709,"[10]","[[0,0,1]]",解锁【荷鲁斯】获得,,,12011,,
302,3,1,3,1,710,"[10]","[[0,0,1]]",【荷鲁斯】达到3星获得,,,12011,,
351,3,2,,1,711,"[1]","[[0,0,1]]",【荷鲁斯】达到1星获得,,,12011,5000,
352,3,2,,1,712,"[1]","[[0,0,1]]",【荷鲁斯】达到5星获得,,,12011,5000,1
401,4,1,4,1,713,"[10]","[[0,0,1]]",解锁【女修罗】获得,,,12009,,
402,4,1,4,1,714,"[10]","[[0,0,1]]",【女修罗】达到3星获得,,,12009,,
451,4,2,,1,715,"[1]","[[0,0,1]]",【女修罗】达到1星获得,,,12009,5000,
452,4,2,,1,716,"[1]","[[0,30,1]]",【女修罗】达到5星获得,,,12009,5000,1
501,5,1,5,1,717,"[2,10]","[[0,0,1],[0,0,1]]",解锁【雷震子】获得,,,12004,,
502,5,1,5,1,718,"[2,10]","[[0,0,1],[0,0,1]]",【雷震子】达到3星获得,,,12004,,
551,5,2,,1,719,"[1]","[[0,0,1]]",【雷震子】达到1星获得,,,12004,5000,
552,5,2,,1,720,"[1]","[[-10,0,1]]",【雷震子】达到5星获得,,,12004,5000,1
601,6,1,6,1,721,"[4]","[[0,0,1]]",解锁【湿婆】获得,,,12006,,
602,6,1,6,1,722,"[4]","[[0,0,1]]",【湿婆】达到3星获得,,,12006,,
651,6,2,,1,723,"[1]","[[0,0,1.2]]",【湿婆】达到1星获得,,,12006,5000,
652,6,2,,1,724,"[1]","[[0,0,1.2]]",【湿婆】达到5星获得,,,12006,5000,1
701,7,1,7,1,725,"[10,2]","[[0,-300,1],[0,-300,1]]",解锁【恶灵船长】获得,,,12001,,
702,7,1,7,1,726,"[10,2]","[[0,-300,1],[0,-300,1]]",【恶灵船长】达到3星获得,,,12001,,
751,7,2,,1,727,"[1]","[[-5,-345,1]]",【恶灵船长】达到1星获得,,,12001,5000,
752,7,2,,1,728,"[1]","[[-5,-345,1]]",【恶灵船长】达到5星获得,,,12001,5000,1
801,8,1,8,1,729,"[10]","[[0,0,1]]",解锁【牛魔王】获得,,,12005,,
802,8,1,8,1,730,"[10]","[[5,0,1]]",【牛魔王】达到3星获得,,,12005,,
851,8,2,,1,731,"[1]","[[0,-10,1]]",【牛魔王】达到1星获得,,,12005,5000,
852,8,2,,1,732,"[1]","[[0,-10,1]]",【牛魔王】达到5星获得,,,12005,5000,1
901,9,1,9,1,733,"[1]","[[0,0,1]]",解锁【弑神者】获得,,,12010,,
902,9,1,9,1,734,"[1]","[[0,0,1]]",【弑神者】达到3星获得,,,12010,,
951,9,2,,1,735,"[8]","[[0,0,1]]",【弑神者】达到1星获得,,,12010,5000,
952,9,2,,1,736,"[8]","[[0,0,1]]",【弑神者】达到5星获得,,,12010,5000,1
1001,10,1,10,1,737,"[10]","[[-40,0,1]]",解锁【孙悟空】获得,,,12008,,
1002,10,1,10,1,738,"[10]","[[0,25,1]]",【孙悟空】达到3星获得,,,12008,,
1051,10,2,,1,739,"[1]","[[0,-50,1.3]]",【孙悟空】达到1星获得,,,12008,5000,
1052,10,2,,1,740,"[1]","[[0,-50,1.3]]",【孙悟空】达到5星获得,,,12008,5000,1
1101,11,1,11,1,741,"[10,11]","[[-530,0,1],[-530,20,1]]",解锁【阿波罗】获得,,,12000,,
1102,11,1,11,1,742,"[10,11]","[[-530,0,1],[-530,0,1]]",【阿波罗】达到3星获得,,,12000,,
1151,11,2,,1,743,"[1]","[[-500,50,1]]",【阿波罗】达到1星获得,,,12000,5000,
1152,11,2,,1,744,"[1]","[[-500,50,1]]",【阿波罗】达到5星获得,,,12000,5000,1
1201,12,1,12,1,745,"[10]","[[0,0,1]]",解锁【须佐之男】获得,,,12003,,
1202,12,1,12,1,746,"[10]","[[0,0,1]]",【须佐之男】达到3星获得,,,12003,,
1251,12,2,,1,747,"[1]","[[0,0,1]]",【须佐之男】达到1星获得,,,12003,5000,
1252,12,2,,1,748,"[1]","[[0,0,1]]",【须佐之男】达到5星获得,,,12003,5000,1
