英雄星级表,,,,
int|key,int|key,int,str,int
,,,"[]",
hero_id,star,star_next,item_list,reward_id
"英雄id","星级","下一星级","升星所需道具[物品id,物品数量]","奖励id"
1,0,1,"[901,1]",8010
1,1,2,"[901,1]",8013
1,2,3,"[901,1]",8012
1,3,4,"[901,1]",8011
1,4,5,"[901,1]",8014
1,5,0,"[]",8015
2,0,1,"[902,1]",8020
2,1,2,"[902,1]",8023
2,2,3,"[902,1]",8022
2,3,4,"[902,1]",8021
2,4,5,"[902,1]",8024
2,5,0,"[]",8025
3,0,1,"[903,1]",8030
3,1,2,"[903,1]",8033
3,2,3,"[903,1]",8032
3,3,4,"[903,1]",8031
3,4,5,"[903,1]",8034
3,5,0,"[]",8035
4,0,1,"[904,1]",8040
4,1,2,"[904,1]",8043
4,2,3,"[904,1]",8042
4,3,4,"[904,1]",8041
4,4,5,"[904,1]",8044
4,5,0,"[]",8045
5,0,1,"[905,1]",8050
5,1,2,"[905,1]",8053
5,2,3,"[905,1]",8052
5,3,4,"[905,1]",8051
5,4,5,"[905,1]",8054
5,5,0,"[]",8055
6,0,1,"[906,1]",8060
6,1,2,"[906,1]",8063
6,2,3,"[906,1]",8062
6,3,4,"[906,1]",8061
6,4,5,"[906,1]",8064
6,5,0,"[]",8065
7,0,1,"[907,1]",8070
7,1,2,"[907,1]",8073
7,2,3,"[907,1]",8072
7,3,4,"[907,1]",8071
7,4,5,"[907,1]",8074
7,5,0,"[]",8075
8,0,1,"[908,1]",8080
8,1,2,"[908,1]",8083
8,2,3,"[908,1]",8082
8,3,4,"[908,1]",8081
8,4,5,"[908,1]",8084
8,5,0,"[]",8085
9,0,1,"[909,1]",8090
9,1,2,"[909,1]",8093
9,2,3,"[909,1]",8092
9,3,4,"[909,1]",8091
9,4,5,"[909,1]",8094
9,5,0,"[]",8095
10,0,1,"[910,1]",8100
10,1,2,"[910,1]",8103
10,2,3,"[910,1]",8102
10,3,4,"[910,1]",8101
10,4,5,"[910,1]",8104
10,5,0,"[]",8105
11,0,1,"[911,1]",
11,1,2,"[911,1]",8113
11,2,3,"[911,1]",8112
11,3,4,"[911,1]",8111
11,4,5,"[911,1]",8114
11,5,0,"[]",8115
12,0,1,"[912,1]",8120
12,1,2,"[912,1]",8123
12,2,3,"[912,1]",8122
12,3,4,"[912,1]",8121
12,4,5,"[912,1]",8124
12,5,0,"[]",8125
