mission_brave_one勇敢者（1v1）,,,,,,,,
int|key,str,str,str,int,int,int,int,int
,"[]","[]","[]",,,,,30
id,cost_list,win_list,enter_conditions_list,tips,mail_back,mail_win,mail_fail,round_time
"副本id","赌注消耗列表","胜利获得列表","进入条件","所属页签","开启失败回退邮件","获胜邮件","失败邮件","间隔时间"
1,"[[2,1000]]","[[2,1800]]","[vip_level,2]",1,1301,1302,1303,
2,"[[2,2000]]","[[2,3600]]","[vip_level,2]",1,1301,1302,1303,
3,"[[2,4000]]","[[2,7200]]","[vip_level,2]",1,1301,1302,1303,
4,"[[2,6000]]","[[2,10800]]","[vip_level,2]",1,1301,1302,1303,
5,"[[2,8000]]","[[2,14400]]","[vip_level,2]",1,1301,1302,1303,
6,"[[2,10000]]","[[2,18000]]","[vip_level,4]",2,1301,1302,1303,
7,"[[2,20000]]","[[2,36000]]","[vip_level,4]",2,1301,1302,1303,
8,"[[2,40000]]","[[2,72000]]","[vip_level,4]",2,1301,1302,1303,
9,"[[2,60000]]","[[2,108000]]","[vip_level,4]",2,1301,1302,1303,
10,"[[2,80000]]","[[2,144000]]","[vip_level,4]",2,1301,1302,1303,
11,"[[2,100000]]","[[2,180000]]","[vip_level,6]",3,1301,1302,1303,
12,"[[2,200000]]","[[2,360000]]","[vip_level,6]",3,1301,1302,1303,
13,"[[2,400000]]","[[2,720000]]","[vip_level,6]",3,1301,1302,1303,
14,"[[2,600000]]","[[2,1080000]]","[vip_level,6]",3,1301,1302,1303,
15,"[[2,800000]]","[[2,1440000]]","[vip_level,6]",3,1301,1302,1303,
