recharge 充值商品信息,,,,,,,,,,,,,,,,,,,,,
int|key,str,str,int,int,int,str|useless,str|useless,str|useless,int,int,int,int,int,str,str,int|useless,int,int|useless,int,int|useless,str
,,,,,,"[]","[]",,,,,,,"[]","[]",0,,1,1,0,
ID,name,sign,icon_id,type,client_log,have_pf_list,remove_pf_list,remark,cash,price_cash,ingot,diamond,vip_exp,reward_item_list,recharge_reward_list,buy_limit,recharge_type,is_show,idx_ord,notice_id,goods_id
"商品ID","名称","标识","图标ID","支付类型[0,第三方 1,谷歌支付 2,苹果支付]","客户端日志","存在平台的列表","不生效的平台列表","配置备注","充值金额（美元）","原价【客户端表现用】","金币","钻石","VIP经验","充值获得物品【物品id,物品数量】","充值活动奖励【充值次数，倍数】","限制购买次数","充值类型（charge_game.csv）","是否显示","排序(客户端)","通知广播id","商品ID"
#,,,,,,,,,,,,,,,,,,,,,
#第三方普通充值,,,,,,,,,,,,,,,,,,,,,
990,2美元,charge_990,1,,101,,,充值2美元,2,,0,200,200,,,,,1,1,,
1000,8美元,charge_1000,2,,102,,,充值8美元,8,,0,800,800,,,,,1,2,,
2000,30美元,charge_2000,3,,103,,,充值30美元,30,,0,3000,3000,,,,,1,3,,
3000,100美元,charge_3000,4,,104,,,充值100美元,100,,0,10000,10000,,,,,1,4,,
4000,300美元,charge_4000,5,,105,,,充值300美元,300,,0,30000,30000,,,,,1,5,,
5000,500美元,charge_5000,6,,106,,,充值500美元,500,,0,50000,50000,,,,,1,6,,
6000,800美元,charge_6000,7,,107,,"[twd]",充值800美元,800,,0,80000,80000,,,,,1,7,,
7000,2000美元,charge_7000,8,,108,,"[twd]",充值2000美元,2000,,0,200000,200000,,,,,1,8,,
8000,3000美元,charge_8000,9,,109,"[indonesia,local]","[twd]",充值3000美元,3000,,0,300000,300000,,,,,1,9,,
9000,5000美元,charge_9000,10,,110,,"[indonesia,twd]",充值5000美元,5000,,0,500000,500000,,,,,1,9,,
#测试,,,,,,,,,,,,,,,,,,,,,
99999,测试,test_charge,,,,,,测试充值,0.1,,0,10,10,,,0,0,0,0,,
#第三方首充,,,,,,,,,,,,,,,,,,,,,
100,首充4美元,first_charge_100,100,,111,,,首充4美元,4,,,,400,,,,1,,,,
#第三方新首充,,,,,,,,,,,,,,,,,,,,,
201,首充4美元,first_charge_201,100,,,,,首充4美元,4,,,,400,,,,1,,,,
202,首充8美元,first_charge_202,100,,,,,首充8美元,8,,,,800,,,,1,,,,
#第三方投资计划,,,,,,,,,,,,,,,,,,,,,
100001,投资计划,tou_zi_ji_hua,,,112,,,登陆投资计划,24,,,,2400,,,,3,,,,
#第三方直购,,,,,,,,,,,,,,,,,,,,,
10011,直升20级,charge_10011,,,,,,直升20级,4,20,,,400,"[[2,500000],[201,100],[202,100]]",,,5,,,,
10012,直升40级,charge_10012,,,,,,直升40级,10,50,,,1000,"[[2,1000000],[201,100],[202,100]]",,,5,,,,
#谷第三方金币直购,,,,,,,,,,,,,,,,,,,,,
10021,金币直购,charge_10021,,,,,,金币直购,10,50,,,1000,,,,2,,,,
#第三方技能书直购,,,,,,,,,,,,,,,,,,,,,
10031,技能书直购,charge_10031,,,,,,技能书直购,4,20,,,400,,,,2,,,,
#,,,,,,,,,,,,,,,,,,,,,
#谷歌首充,,,,,,,,,,,,,,,,,,,,,
10,首充3.99美元,google_first_20100,100,1,202,,,首充3.99美元,3.99,,,,399,,,,1,,,,
#谷歌新2挡首充,,,,,,,,,,,,,,,,,,,,,
21,首充0.99美元,google_first_21,100,1,211,,,首充0.99美元,0.99,,,,99,,,,1,,,,
22,首充7.99美元,google_first_22,100,1,212,,,首充7.99美元,7.99,,,,799,,,,1,,,,
#谷歌投资计划,,,,,,,,,,,,,,,,,,,,,
101,投资计划,google_tou_zi_ji_hua,,1,201,,,登陆投资计划,23.99,,,,2399,,,,3,,,,
#谷歌普通充值,,,,,,,,,,,,,,,,,,,,,
1,0.99美元,google_200001,1,1,203,,,充值0.99美元,0.99,,,70,99,,,,,1,1,,
2,1.99美元,google_200011,2,1,204,,,充值1.99美元,1.99,,,140,199,,,,,1,2,,
3,2.99美元,google_200021,3,1,205,,,充值2.99美元,2.99,,,210,299,,,,,1,3,,
4,7.99美元,google_200031,4,1,206,,,充值7.99美元,7.99,,,560,799,,,,,1,4,,
5,11.99美元,google_200041,5,1,207,,,充值11.99美元,11.99,,,840,1199,,,,,1,5,,
6,19.99美元,google_200051,6,1,208,,,充值19.99美元,19.99,,,1400,1999,,,,,1,6,,
7,29.99美元,google_200061,7,1,209,,,充值29.99美元,29.99,,,2100,2999,,,,,1,7,,
8,159.99美元,google_200071,9,1,210,,,充值159.99美元,159.99,,,11200,15999,,,,,1,7,,
#谷歌等级直购,,,,,,,,,,,,,,,,,,,,,
31,直升20级,google_31,,1,,,,直升20级,1.99,19.99,,,199,"[[2,500000],[201,100],[202,100]]",,,5,,,,
32,直升40级,google_32,,1,,,,直升40级,9.99,99.99,,,999,"[[2,1000000],[201,100],[202,100]]",,,5,,,,
#谷歌金币直购,,,,,,,,,,,,,,,,,,,,,
41,金币直购,google_41,,1,,,,金币直购,8.99,89.99,,,899,,,,2,,,,
#谷歌技能书直购,,,,,,,,,,,,,,,,,,,,,
51,技能书直购,google_51,,1,,,,技能书直购,1.99,19.99,,,199,,,,2,,,,
#,,,,,,,,,,,,,,,,,,,,,
#苹果首充,,,,,,,,,,,,,,,,,,,,,
40100,首充3.99美元,apple_first_30100,100,2,302,,,首充3.99美元,3.99,,,,399,,,,1,,,,
#苹果新2挡首充,,,,,,,,,,,,,,,,,,,,,
40121,首充0.99美元,apple_first_40121,100,2,211,,,首充0.99美元,0.99,,,,99,,,,1,,,,
40122,首充7.99美元,apple_first_40122,100,2,212,,,首充7.99美元,7.99,,,,799,,,,1,,,,
#苹果投资计划,,,,,,,,,,,,,,,,,,,,,
100201,投资计划,apple_tou_zi_ji_hua,,2,301,,,登陆投资计划,23.99,,,,2399,,,,,,,,
#苹果普通充值,,,,,,,,,,,,,,,,,,,,,
400001,0.99美元,apple_300001,1,2,303,,,充值0.99美元,0.99,,,70,99,,,,0,1,1,,
400011,1.99美元,apple_300011,2,2,304,,,充值1.99美元,1.99,,,140,199,,,,0,1,2,,
400021,2.99美元,apple_300021,3,2,305,,,充值2.99美元,2.99,,,210,299,,,,0,1,3,,
400031,7.99美元,apple_300031,4,2,306,,,充值7.99美元,7.99,,,560,799,,,,0,1,4,,
400041,11.99美元,apple_300041,5,2,307,,,充值11.99美元,11.99,,,840,1199,,,,0,1,5,,
400051,19.99美元,apple_300051,6,2,308,,,充值19.99美元,19.99,,,1400,1999,,,,0,1,6,,
400061,29.99美元,apple_300061,7,2,309,,,充值29.99美元,29.99,,,2100,2999,,,,0,1,7,,
400071,159.99美元,apple_300071,9,2,310,,,充值159.99美元,159.99,,,11200,15999,,,,0,1,7,,
#苹果等级直购,,,,,,,,,,,,,,,,,,,,,
40211,直升20级,apple_40211,,2,,,,直升20级,1.99,19.99,,,199,"[[2,500000],[201,100],[202,100]]",,,5,,,,
40221,直升40级,apple_40221,,2,,,,直升40级,9.99,99.99,,,999,"[[2,1000000],[201,100],[202,100]]",,,5,,,,
#苹果金币直购,,,,,,,,,,,,,,,,,,,,,
40231,金币直购,apple_40231,,2,,,,金币直购,8.99,89.99,,,899,,,,2,,,,
#苹果技能书直购,,,,,,,,,,,,,,,,,,,,,
40241,技能书直购,apple_40341,,2,,,,技能书直购,1.99,19.99,,,199,,,,2,,,,
