"reward,csv奖励表",,
int|key,str,str|useless
,,
id,random_reward_list,weights_reward_list
"奖励ID","非权重奖励：【奖励类型对应物品ID】,【奖励数量】,【奖励概率（万分比）】；例如：[500,500,5000]","权重奖励：[[【是否触发权重奖励概率万分比】],[【随机的数量下限】,【随机的数量上限】],是否去重（0/1）,[[【奖励类型对应物品ID】,【奖励数量】,【权重】],[【奖励类型对应物品ID】,【奖励数量】,【权重】…]]]支持多组"
#新项目,,
#建号奖励,,
2999,"[[2,1000000,10000],[202,50,10000],[201,50,10000]]",
#初始默认奖励,,
997,"[[911,1,10000]]",
#引导结束奖励,,
999,"[[500,1,1000000],[2,10000,1000000],[202,5,10000],[201,5,10000]]",
#邀请奖励,,
998,"[[2,1000,10000],[202,2,10000],[201,2,10000]]",
#新手怪物,,
200,"[[11,10,10000],[2,10,10000]]",
201,"[[11,10,10000],[2,20,10000]]",
202,"[[11,10,10000],[2,30,10000]]",
203,"[[11,10,10000],[2,50,10000]]",
#转盘宝箱（不能用）,,
301,"[[2,1000,10000],[202,2,10000],[201,2,10000]]",
#三种宝箱（不能用）,,
350,"[[2,1000,10000],[202,2,10000],[201,2,10000]]",
351,"[[2,1000,10000],[202,2,10000],[201,2,10000]]",
352,"[[2,1000,10000],[202,2,10000],[201,2,10000]]",
#多人BOSS参与奖,,
5000,"[[2,250,10000],[202,1,10000],[201,1,10000]]",
5001,"[[2,500,10000],[202,2,10000],[201,2,10000]]",
5002,"[[2,750,10000],[202,3,10000],[201,3,10000]]",
5003,"[[2,1000,10000],[202,4,10000],[201,4,10000]]",
5004,"[[2,1250,10000],[202,5,10000],[201,5,10000]]",
5005,"[[2,1500,10000],[202,6,10000],[201,6,10000]]",
5006,"[[2,1750,10000],[202,7,10000],[201,7,10000]]",
5007,"[[2,2000,10000],[202,8,10000],[201,8,10000]]",
5008,"[[2,2250,10000],[202,9,10000],[201,9,10000]]",
5009,"[[2,2500,10000],[202,10,10000],[201,10,10000]]",
#多人BOSS结算奖,,
5100,"[[11,1000,10000],[2,10000,10000],[202,2,10000],[201,2,10000]]",
5101,"[[11,2000,10000],[2,20000,10000],[202,4,10000],[201,4,10000]]",
5102,"[[11,3000,10000],[2,30000,10000],[202,6,10000],[201,6,10000]]",
5103,"[[11,4000,10000],[2,40000,10000],[202,8,10000],[201,8,10000]]",
5104,"[[11,5000,10000],[2,50000,10000],[202,10,10000],[201,10,10000]]",
5105,"[[11,6000,10000],[2,60000,10000],[202,12,10000],[201,12,10000]]",
